Janet Parsons
Vaughn Lewis
Adonis Julius Archer
Shelby Nathan Yoder
Marin Alvarez
London Lindsey
Beau Tristan Bentley
Leo Gardner
Hunter Uriah Mathew Clarke
Mikayla Lopez
Frankie Conner Ritter
Miles Davis
John Coltrane
Charlie Parker
Duke Ellington
Louis Armstrong
Ella Fitzgerald
Billie Holiday
Thelonious Monk
Charles Mingus
Django Reinhardt
Art Tatum
Dizzy Gillespie
Coleman Hawkins
Benny Carter
Lester Young
Roy Eldridge
Sidney Bechet
Jelly Roll Morton
Charlie Christian
Fats Waller
Oscar Peterson
Bill Evans
Mary Lou Williams
Stan Getz
Dexter Gordon
Ornette Coleman
Sarah Vaughan
Carmen McRae
Betty Carter
Nina Simone
Chet Baker
Sonny Rollins
Wayne Shorter
Herbie Hancock
Art Blakey
Max Roach
Charles Lloyd
Kenny Barron
Horace Silver
McCoy Tyner
Joe Henderson
Ahmad Jamal
Keith Jarrett
Chick Corea
Dave Brubeck
Pat Metheny
Branford Marsalis
Wynton Marsalis
Tony Williams
Ron Carter
Freddie Hubbard
Lee Morgan
Cannonball Adderley
Joe Pass
Wes Montgomery
Grant Green
Jimmy Smith
Sun Ra
Cecil Taylor
Albert Ayler
Archie Shepp
Paul Desmond
Gerry Mulligan
Chet Baker
Woody Shaw
Michel Petrucciani
Red Garland
Tommy Flanagan
Hank Mobley
Jackie McLean
Eric Dolphy
Pharoah Sanders
Art Farmer
Donald Byrd
Kenny Dorham
Bobby Hutcherson
Milt Jackson
Ray Brown
Jimmy Blanton
Paul Chambers
Charles McPherson
Kenny Clarke
Jimmy Cobb
Elvin Jones
Roy Haynes
Billy Higgins
Eddie Harris
Roland Kirk
Johnny Griffin
Gene Ammons
Kenny Burrell
Blue Mitchell
Curtis Fuller
Jimmy Heath
Percy Heath
Albert Heath
Eddie Costa
Bobby Timmons
Red Norvo
Teddy Wilson
Earl Hines
Count Basie
Bud Powell
Hampton Hawes
Zoot Sims
Don Byas
Lucky Thompson
Billy Taylor
Cedar Walton
Harold Mabern
Barry Harris
Tommy Flanagan
Pete La Roca
Billy Hart
Jack DeJohnette
Sam Rivers
Andrew Hill
Mal Waldron
Randy Weston
George Adams
Eddie Lockjaw Davis
Johnny Hodges
Paul Gonsalves
Ben Webster
Harry Carney
Clark Terry
Ruby Braff
Howard McGhee
Fats Navarro
Clifford Brown
Booker Little
Lee Konitz
Warne Marsh
Art Pepper
Phil Woods
James Moody
Frank Morgan
Lou Donaldson
Charles Davis
Booker Ervin
George Coleman
Billy Harper
Joe Lovano
Dave Liebman
Steve Lacy
Steve Swallow
Eddie Gomez
Richard Davis
Reggie Workman
Jimmy Garrison
Dave Holland
Charlie Haden
Scott LaFaro
Gary Peacock
Red Mitchell
George Morrow
Paul Motian
Ed Blackwell
Ben Riley
Lewis Nash
Al Foster
Jimmy Cobb
Rashied Ali
Andrew Cyrille
Sunny Murray
Ed Thigpen
Mel Lewis
Shelly Manne
Roy Brooks
Pete LaRoca
Louis Hayes
Jimmy Smith
Larry Young
Shirley Scott
Jack McDuff
Joey DeFrancesco
Don Patterson
Baby Face Willette
Richard Holmes
Charles Earland
Billy Eckstine
Joe Williams
Eddie Jefferson
Jon Hendricks
Mark Murphy
Andy Bey
Leon Thomas
Helen Merrill
Chris Connor
June Christy
Anita Day
Helen Humes
Abbey Lincoln
Jeanne Lee
Sheila Jordan
Annie Ross
Jackie Paris
George Benson
Jimmy Raney
Tal Farlow
Johnny Smith
Barney Kessel
Chuck Wayne
Billy Bauer
Herb Ellis
Jim Hall
Gene Bertoncini
Eddie Lang
Charlie Byrd
Cal Tjader
Bobby Hutcherson
Gary Burton
Dave Pike
Red Norvo
Lionel Hampton
Terry Gibbs
Joe Locke
Roy Ayers
Walt Dickerson
Dave Valentin
Herbie Mann
Yusef Lateef
James Moody
Sam Most
Frank Wess
Jerome Richardson
Leo Wright
Johnny Griffin
Eddie Davis
Gene Ammons
Illinois Jacquet
Eddie Lockjaw Davis
Buddy Tate
Arnett Cobb
Don Byas
Lucky Thompson
Chu Berry
Flip Phillips
Charlie Rouse
Wardell Gray
Harold Land
Teddy Edwards
Tina Brooks
George Coleman
Charles McPherson
Vincent Herring
Bobby Watson
Gary Bartz
Arthur Blythe
Oliver Lake
Julius Hemphill
David Murray
Hamiet Bluiett
John Carter
Tony Scott
Eddie Daniels
Don Byron
Buddy DeFranco
Jimmy Giuffre
Bob Wilber
Kenny Davern
Pee Wee Russell
Edmond Hall
Barney Bigard
Jimmy Hamilton
Russell Procope
Albert Nicholas
Tony Parenti
Pete Fountain
Woody Herman
Stan Kenton
Maynard Ferguson
Doc Severinsen
Harry James
Chet Baker
Art Farmer
Blue Mitchell
Kenny Dorham
Thad Jones
Joe Newman
Buck Clayton
Harry Edison
Roy Eldridge
Charlie Shavers
Cat Anderson
Willie Cook
Ray Nance
Rex Stewart
Bobby Hackett
Billy Butterfield
Bunny Berigan
Red Allen
Doc Cheatham
Jonah Jones
Ray Anthony
Don Ellis
Lester Bowie
Don Cherry
Bobby Bradford
Ted Curson
Bill Dixon
Kenny Wheeler
Tom Harrell
Woody Shaw
Wallace Roney
Roy Hargrove
Nicholas Payton
Dave Douglas
Eddie Henderson
Charles Tolliver
Terumasa Hino
Arturo Sandoval
Claudio Roditi
Randy Brecker
Marcus Belgrave
Marvin Stamm
Jimmy Owens
Charles Sullivan
Bill Coleman
Henry Red Allen
Al Hirt
Rafael Mendez
Bix Beiderbecke
Willie Smith
Johnny Hodges
Benny Carter
Charlie Mariano
Phil Woods
Herb Geller
Art Pepper
Paul Desmond
Lee Konitz
Bud Shank
Gene Quill
Richie Kamuca
Bill Perkins
Charlie Kennedy
Willie Dennis
Curtis Fuller
J.J. Johnson
Kai Winding
Frank Rosolino
Jimmy Cleveland
Urbie Green
Bill Harris
Bob Brookmeyer
Dick Nash
Carl Fontana
Albert Mangelsdorff
Roswell Rudd
Grachan Moncur III
Julian Priester
George Lewis
Ray Anderson
Steve Turre
Robin Eubanks
Craig Harris
Joseph Bowie
Bill Watrous
Phil Wilson
Slide Hampton
Curtis Fuller
Wayne Henderson
Dick Griffin
George Bohanon
Jimmy Knepper
Eddie Bert
Britt Woodman
Jimmy Cleveland
Matthew Gee
Vic Dickenson
Kid Ory
Trummy Young
Lawrence Brown
Dicky Wells
Bill Hughes
Benny Powell
Al Grey
Locksley Wellington
George Matthews
Sam Nanton
Juan Tizol
Claude Jones
Sandy Williams
Jimmy Harrison
Miff Mole
Tommy Dorsey
Jack Teagarden
Brad Gowans
Georg Brunis
Eddie Edwards
Jimmy Archey
Preston Jackson
Honore Dutrey
Roy Palmer
Chris Barber
Kid Howard
Jim Robinson
Papa Mutt Carey
Punch Miller
Peter Bocage
Freddie Keppard
King Oliver
Louis Armstrong
Bunk Johnson
Papa Celestin
Tommy Ladnier
Sidney Bechet
Johnny Dodds
Jimmy Noone
Omer Simeon
Albert Nicholas
George Lewis
Jimmie Hamilton
Russell Procope
Barney Bigard
Woody Herman
Artie Shaw
Buddy DeFranco
Tony Scott
Kenny Davern
Bob Wilber
Pee Wee Russell
Frank Teschemacher
Irving Fazola
Mezz Mezzrow
Rod Levitt
Chuck Israels
Michael Moore
Red Mitchell
Oscar Pettiford
George Duvivier
Milt Hinton
Major Holley
Slam Stewart
Leroy Vinnegar
Wellman Braud
John Kirby
George Murphy
Israel Crosby
Bob Haggart
Pops Foster
Al Morgan
Steve Brown
Thelonious Monk Jr
Bobby Watson
Greg Osby
Steve Coleman
Gary Thomas
Tim Berne
John Zorn
Dave Liebman
Joe Lovano
Ralph Moore
Bob Berg
Michael Brecker
Bob Mintzer
Ernie Watts
Dave Sanborn
Phil Woods
Richie Cole
Paquito Rivera
James Spaulding
Gary Bartz
Bobby Watson
Donald Harrison
Steve Wilson
Kenny Garrett
Antonio Hart
Sherman Irby
Wessell Anderson
Ted Nash
Dick Oatts
Bobby Militello
Roger Rosenberg
Ronnie Cuber
Nick Brignola
Pepper Adams
Cecil Payne
Gerry Mulligan
Serge Chaloff
Harry Carney
Adrian Rollini
Joe Temperley
John Surman
John Gillespie
Woody Shaw
Freddie Hubbard
Donald Byrd
Lee Morgan
Blue Mitchell
Kenny Dorham
Art Farmer
Chet Baker
Miles Davis
Dizzy Gillespie
Roy Eldridge
Harry Edison
Buck Clayton
Ruby Braff
Bobby Hackett
Wild Bill Davison
Muggsy Spanier
Max Kaminsky
Billy Butterfield
Bunny Berigan
Red Nichols
Bix Beiderbecke
Katharine Hepburn
Clark Gable
Vivien Leigh
James Stewart
Ingrid Bergman
Humphrey Bogart
Bette Davis
Spencer Tracy
Olivia DeHavilland
Gregory Peck
Audrey Hepburn
Marlon Brando
Grace Kelly
Ernest Borgnine
Yul Brynner
Joanne Woodward
David Niven
Charlton Heston
Simone Signoret
Elizabeth Taylor
Sophia Loren
Maximilian Schell
Anne Bancroft
Sidney Poitier
Patricia Neal
Rex Harrison
Julie Andrews
Lee Marvin
Paul Scofield
Rod Steiger
Katharine Hepburn
John Wayne
Maggie Smith
George Scott
Jane Fonda
Gene Hackman
Liza Minnelli
Jack Lemmon
Glenda Jackson
Art Carney
Ellen Burstyn
Jack Nicholson
Louise Fletcher
Peter Finch
Diane Keaton
Richard Dreyfuss
Jon Voight
Jane Fonda
Dustin Hoffman
Sally Field
Robert DeNiro
Sissy Spacek
Henry Fonda
Meryl Streep
Ben Kingsley
Robert Duvall
Shirley MacLaine
William Hurt
Geraldine Page
Paul Newman
Marlee Matlin
Michael Douglas
Jodie Foster
Daniel Day-Lewis
Jessica Tandy
Jeremy Irons
Kathy Bates
Anthony Hopkins
Jodie Foster
Al Pacino
Emma Thompson
Tom Hanks
Holly Hunter
Tom Hanks
Jessica Lange
Nicolas Cage
Susan Sarandon
Geoffrey Rush
Helen Hunt
Jack Nicholson
Roberto Benigni
Gwyneth Paltrow
Kevin Spacey
Hilary Swank
Russell Crowe
Julia Roberts
Denzel Washington
Halle Berry
Adrien Brody
Nicole Kidman
Sean Penn
Charlize Theron
Jamie Foxx
Hilary Swank
Philip Seymour Hoffman
Reese Witherspoon
Forest Whitaker
Helen Mirren
Daniel Day-Lewis
Marion Cotillard
Sean Penn
Kate Winslet
Jeff Bridges
Sandra Bullock
Colin Firth
Natalie Portman
Jean Dujardin
Meryl Streep
Daniel Day-Lewis
Jennifer Lawrence
Matthew McConaughey
Cate Blanchett
Eddie Redmayne
Julianne Moore
Leonardo DiCaprio
Brie Larson
Casey Affleck
Emma Stone
Gary Oldman
Frances McDormand
Rami Malek
Olivia Colman
Joaquin Phoenix
Renée Zellweger
Anthony Hopkins
Frances McDormand
Will Smith
Jessica Chastain
Brendan Fraser
Michelle Yeoh
Walt Disney
Frank Capra
John Ford
William Wyler
Elia Kazan
David Lean
Robert Wise
Fred Zinnemann
Billy Wilder
George Cukor
Mike Nichols
Francis Ford Coppola
George Roy Hill
Milos Forman
Woody Allen
Oliver Stone
Steven Spielberg
James Cameron
Robert Zemeckis
Clint Eastwood
Ron Howard
Peter Jackson
Martin Scorsese
Joel Coen
Danny Boyle
Kathryn Bigelow
Tom Hooper
Michel Hazanavicius
Ang Lee
Alfonso Cuarón
Alejandro González Iñárritu
Damien Chazelle
Guillermo del Toro
Alfonso Cuarón
Bong Joon Ho
Chloé Zhao
Jane Campion
Morgan Freeman
Robin Williams
Joe Pesci
Gene Hackman
Tommy Lee Jones
Martin Landau
Kevin Spacey
Cuba Gooding Jr
James Coburn
Michael Caine
Benicio Del Toro
Jim Broadbent
Chris Cooper
Tim Robbins
Morgan Freeman
George Clooney
Alan Arkin
Javier Bardem
Heath Ledger
Christoph Waltz
Christian Bale
Christopher Plummer
Christoph Waltz
Jared Leto
J.K. Simmons
Mark Rylance
Mahershala Ali
Sam Rockwell
Mahershala Ali
Brad Pitt
Daniel Kaluuya
Troy Kotsur
Ke Huy Quan
Dianne Wiest
Angelina Jolie
Judi Dench
Jennifer Connelly
Catherine Zeta-Jones
Renée Zellweger
Cate Blanchett
Rachel Weisz
Jennifer Hudson
Tilda Swinton
Penélope Cruz
Melissa Leo
Octavia Spencer
Anne Hathaway
Lupita Nyong'o
Patricia Arquette
Alicia Vikander
Viola Davis
Allison Janney
Regina King
Laura Dern
Youn Yuh-jung
Ariana DeBose
Jamie Lee Curtis
Mary Pickford
Janet Gaynor
Emil Jannings
Warner Baxter
George Arliss
Marie Dressler
Lionel Barrymore
Helen Hayes
Fredric March
Charles Laughton
Claudette Colbert
Victor McLaglen
Paul Muni
Luise Rainer
Robert Donat
Ginger Rogers
James Cagney
